level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,5962,15985,2016,19340,Healdsburg,CA,3C4PDCAB7GT230457,Dodge,JourneyFWD,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3C4PDCAB*GT,,DODGE,CHRYSLER DE MEXICO TOLUCA,Journey,2016,TOLUCA,JC,SE,MULTIPURPOSE PASSENGER VEHICLE (MPV),MEXICO,Toluca Assembly,STATE OF MEXICO,,Body Style: Hatchback Tall,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,4,2400.0,146.45698582735,2.4,,,,Gasoline,,,,,,,,,"Sales Code : ED3,ED7,EDD,EDE,ED6,ED8",No,,,,Manual,Active Seat Belt,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,5963,22998,2016,38945,Tracy,CA,2C3CDXCT9GH204273,Dodge,ChargerRT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2C3CDXCT*GH,,DODGE,FCA CANADA INC.,Charger,2016,BRAMPTON,LD,R/T,PASSENGER CAR,CANADA,Brampton Assembly,ONTARIO,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,RWD/Rear-Wheel Drive,,,,,,,,,,,,,,,,,,,8,5700.0,347.83534133997,5.7,,,,Gasoline,,V-Shaped,,,,,,,"Sales Code - EZC,EZH",No,,FCA,,Manual,,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
2,5964,15981,2016,23468,San Diego,CA,3C4PDCBG3GT231325,Dodge,JourneyFWD,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3C4PDCBG*GT,U.S.,DODGE,CHRYSLER DE MEXICO TOLUCA,Journey,2016,TOLUCA,JC,SXT,MULTIPURPOSE PASSENGER VEHICLE (MPV),MEXICO,Toluca Assembly,STATE OF MEXICO,,Body Style: Hatchback Tall,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,6,3600.0,219.68547874103,3.6,,,,Gasoline,,,,,,,,,"Sales Code : ERB,ERC,ERT",No,,,,Manual,Active Seat Belt,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
3,5965,11988,2016,37763,National City,CA,1C3CDFBBXGD564135,Dodge,DartSXT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1C3CDFBB*GD,,DODGE,FCA US LLC,Dart,2016,BELVIDERE,PF,SXT,PASSENGER CAR,UNITED STATES (USA),Belvidere Assembly,ILLINOIS,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,,,,,,,,,,,,,,,,,4,2400.0,146.45698582735,2.4,,,,Gasoline,,In-Line,,,,,,,"Sales Code - ED6,ED8,EDD,EDE",No,,FCA,,Manual,,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,5966,17991,2015,23717,Costa Mesa,CA,2C3CDZAG8FH714470,Dodge,ChallengerSXT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2C3CDZAG*FH,,DODGE,FCA CANADA INC.,Challenger,2015,BRAMPTON,,SXT,PASSENGER CAR,CANADA,Brampton Assembly,ONTARIO,,,,,,Coupe,2,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,RWD/Rear-Wheel Drive,,,,,,,,,,,,,,,,,,,6,3600.0,219.68547874103,3.6,,,,Gasoline,,,,,,,,,Sales Code: ERB,No,,,,Manual,Active Seat Belt at all Seating Position; Front Air Bags at Outboard Seating Position,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,5967,22950,2016,35960,Hayward,CA,2C3CDXHG4GH159030,Dodge,ChargerSXT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2C3CDXHG*GH,,DODGE,FCA CANADA INC.,Charger,2016,BRAMPTON,LD,SXT,PASSENGER CAR,CANADA,Brampton Assembly,ONTARIO,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,RWD/Rear-Wheel Drive,,,,,,,,,,,,,,,,,,,6,3600.0,219.68547874103,3.6,,,,Gasoline,,V-Shaped,,,,,,,Sales Code - ERB,No,,FCA,,Manual,,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,5968,18990,2015,20826,Torrance,CA,2C3CDZAG7FH712239,Dodge,ChallengerSXT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2C3CDZAG*FH,,DODGE,FCA CANADA INC.,Challenger,2015,BRAMPTON,,SXT,PASSENGER CAR,CANADA,Brampton Assembly,ONTARIO,,,,,,Coupe,2,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,RWD/Rear-Wheel Drive,,,,,,,,,,,,,,,,,,,6,3600.0,219.68547874103,3.6,,,,Gasoline,,,,,,,,,Sales Code: ERB,No,,,,Manual,Active Seat Belt at all Seating Position; Front Air Bags at Outboard Seating Position,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,5969,10999,2014,33477,Santa Ana,CA,1C3CDFBB4ED867554,Dodge,DartSXT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1C3CDFBB*ED,,DODGE,FCA US LLC,Dart,2014,BELVIDERE,,SXT,PASSENGER CAR,UNITED STATES (USA),Belvidere Assembly,ILLINOIS,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,,,,,,,,,,,,,,,,,4,2400.0,146.45698582735,2.4,,,,Gasoline,,,,,,,,,"Sales Code: ED3,ED6,ED7,EDG",No,,,,Manual,Active Seat Belt at all Seating Position; Front Air Bags at Outboard Seating Position,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,5970,11888,2015,29066,Playa Vista,CA,1C3CDFBB2FD140981,Dodge,DartSXT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1C3CDFBB*FD,,DODGE,FCA US LLC,Dart,2015,BELVIDERE,,SXT,PASSENGER CAR,UNITED STATES (USA),Belvidere Assembly,ILLINOIS,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,,,,,,,,,,,,,,,,,4,2400.0,146.45698582735,2.4,,,,Gasoline,,,,,,,,,"Sales Code: ED3,ED6,ED7,ED8,EDD,EDE",No,,,,Manual,Active Seat Belt at all Seating Position; Front Air Bags at Outboard Seating Position,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
9,5971,24990,2016,33015,Anaheim,CA,2C3CDXCT1GH305694,Dodge,ChargerRT,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2C3CDXCT*GH,,DODGE,FCA CANADA INC.,Charger,2016,BRAMPTON,LD,R/T,PASSENGER CAR,CANADA,Brampton Assembly,ONTARIO,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,RWD/Rear-Wheel Drive,,,,,,,,,,,,,,,,,,,8,5700.0,347.83534133997,5.7,,,,Gasoline,,V-Shaped,,,,,,,"Sales Code - EZC,EZH",No,,FCA,,Manual,,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
