level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,17878,29990,2015,25493,Torrance,CA,JTHBF1D26F5050551,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*F5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2015,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,17879,28959,2015,26380,Cerritos,CA,JTHBF1D25F5053747,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*F5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2015,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
2,17880,29999,2015,11755,Bakersfield,CA,JTHBF1D22F5046416,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*F5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2015,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
3,17881,28998,2014,27185,Selma,CA,JTHBF1D20E5036191,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*E5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2014,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,17882,29495,2015,20418,Midway City,CA,JTHBF1D29F5068929,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*F5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2015,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,17883,27990,2015,39055,Costa Mesa,CA,JTHBF1D2XF5058801,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*F5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2015,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,17884,28660,2015,30992,Moreno Valley,CA,JTHBF1D2XF5074075,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*F5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2015,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,17885,28441,2016,24866,Riverside,CA,JTHBA1D29G5017690,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBA1D2*G5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2016,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,200t,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2000,122.0474881894,2,,8AR-FTS,179.7137,Gasoline,,In-Line,,Stoichiometric Gasoline Direct Injection (SGDI),241,,,,Engine Type : PORT + DIRECT,,,,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,17886,29988,2014,18201,Concord,CA,JTHBF1D28E5040778,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBF1D2*E5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2014,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,250,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,6,2499,152.55936023683,2.5,,4GR-FSE,175.9852,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,236,Water,317,,,,,Toyota,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
9,17887,29500,2016,9247,Escondido,CA,JTHBA1D24G5010663,Lexus,IS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JTHBA1D2*G5,,LEXUS,TOYOTA MOTOR CORPORATION,IS,2016,TAHARA,ASE30L/GSE31L/GSE36L/GSE37L,200t,PASSENGER CAR,JAPAN,Toyota Motor Corporation,AICHI,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2000,122.0474881894,2,,8AR-FTS,179.7137,Gasoline,,In-Line,,Stoichiometric Gasoline Direct Injection (SGDI),241,,,,Engine Type : PORT + DIRECT,,,,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
