level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
11,25833,19991,2017,13149,Sunnyvale,CA,5YFBURHE7HP577756,Toyota,CorollaXLE,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,5YFBURHE*HP,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, MISSISSIPPI, INC.",Corolla,2017,BLUE SPRINGS,ZRE172L,L/LE/SE/XLE/XSE/50th Anniv. Special Edition,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Mississippi, Inc.",MISSISSIPPI,,,,19400,,Sedan/Saloon,4,,Standard,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,,,,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),,FWD/Front-Wheel Drive,2,,,Calipers / Front Vented Discs | Rear Drums,,,,,,,,,,,,,,,4,1798,109.84273937051,1.8,4,2ZR-FE,98.4324,Gasoline,Dual Overhead Cam (DOHC),In-Line,,Multipoint Fuel Injection (MPFI),132,,148,,,,110,Toyota,,Manual,,All Rows,Passenger Seat Only,1st Row (Driver and Passenger),Driver Seat Only,1st Row (Driver and Passenger),Standard,Standard,Standard,Indirect,,Standard,,,,,,,Standard,,Standard,Standard,Standard,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,Standard,,Standard,,Standard,Standard,,,,
12,25834,15995,2014,35436,Westminster,CA,4T4BF1FKXER402387,Toyota,CamryLE,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,4T4BF1FK*ER,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, NORTHERN KENTUCKY, INC.",Camry,2014,LAFAYETTE,ASV50L/GSV50L/AVV50L,,PASSENGER CAR,UNITED STATES (USA),"Subaru of Indiana Automobile, Inc",INDIANA,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,2AR-FE,199.8476,Gasoline,,In-Line,,Multipoint Fuel Injection (MPFI),268,,,,,,,,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
13,25835,16577,2016,38374,El Cajon,CA,4T1BF1FK3GU222102,Toyota,CamrySE,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,4T1BF1FK*GU,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2016,GEORGETOWN,ASV50L/GSV50L/AVV50L,,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,2AR-FE,199.8476,Gasoline,,In-Line,,Multipoint Fuel Injection (MPFI),268,,,,,,,,Yes,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
14,25836,12175,2016,26757,Davis,CA,VNKKTUD33GA065092,Toyota,Yaris5-Door,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,VNKKTUD3*GA,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, FRANCE, S.A.S.",Yaris,2016,,NCP131L,,PASSENGER CAR,FRANCE,"Toyota Motor Manufacturing, France, S.A.S",,,,,,,Hatchback/Liftback/Notchback,5,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,1500.0,91.53561614209,1.5,,1NZ-FE,79.0442,Gasoline,,In-Line,,,106,,,,PORT,,,,,,Seat Belt:All Seats,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Driver Seat Only,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
15,25837,16889,2015,35895,Cerritos,CA,4T4BF1FK4FR463462,Toyota,CamryLE,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,4T4BF1FK*FR,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, NORTHERN KENTUCKY, INC.",Camry,2015,LAFAYETTE,ASV50L/GSV50L/AVV50L,,PASSENGER CAR,UNITED STATES (USA),"Subaru of Indiana Automobile, Inc",INDIANA,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,2AR-FE,199.8476,Gasoline,,In-Line,,Multipoint Fuel Injection (MPFI),268,,,,,,,,Yes,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
16,25838,17665,2016,25404,Moreno Valley,CA,4T1BF1FK2GU580551,Toyota,CamryXSE,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,4T1BF1FK*GU,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2016,GEORGETOWN,ASV50L/GSV50L/AVV50L,,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,2AR-FE,199.8476,Gasoline,,In-Line,,Multipoint Fuel Injection (MPFI),268,,,,,,,,Yes,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
17,25839,16200,2014,35697,Clovis,CA,4T1BF1FK9EU743631,Toyota,CamrySE,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,4T1BF1FK*EU,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2014,GEORGETOWN,ASV50L/GSV50L/AVV50L,,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,2AR-FE,199.8476,Gasoline,,In-Line,,Multipoint Fuel Injection (MPFI),268,,,,,,,,,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
18,25840,20889,2015,21756,Modesto,CA,4T1BD1FK0FU168729,Toyota,Camry,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,4T1BD1FK*FU,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2015,GEORGETOWN,ASV50L/GSV50L/AVV50L,Hybrid,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,2AR-FXE+2JM,116.3292,Gasoline,,In-Line,Electric,Multipoint Fuel Injection (MPFI),156,,,Strong HEV (Hybrid Electric Vehicle),,,,,Yes,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
19,25841,11675,2016,32897,Mountain View,CA,VNKKTUD32GA062670,Toyota,Yaris5-Door,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,VNKKTUD3*GA,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, FRANCE, S.A.S.",Yaris,2016,,NCP131L,,PASSENGER CAR,FRANCE,"Toyota Motor Manufacturing, France, S.A.S",,,,,,,Hatchback/Liftback/Notchback,5,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,1500.0,91.53561614209,1.5,,1NZ-FE,79.0442,Gasoline,,In-Line,,,106,,,,PORT,,,,,,Seat Belt:All Seats,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Driver Seat Only,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
20,25842,16988,2016,37332,City of Industry,CA,4T1BF1FKXGU219777,Toyota,CamrySE,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,4T1BF1FK*GU,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2016,GEORGETOWN,ASV50L/GSV50L/AVV50L,,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,2AR-FE,199.8476,Gasoline,,In-Line,,Multipoint Fuel Injection (MPFI),268,,,,,,,,Yes,Manual,,All Rows,,1st Row (Driver and Passenger),1st Row (Driver and Passenger),All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
