level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,0,15499,2014,27171,Santa Ana,CA,JH4CU2F49EC005287,Acura,TSX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JH4CU2F4*EC,,ACURA,"HONDA MOTOR CO., LTD",TSX,2014,SAYAMA,,,PASSENGER CAR,JAPAN,,SAITAMA,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,2359.737216,144,2.4,4,K24Z3,149.8857,Gasoline,Dual Overhead Cam (DOHC),In-Line,,Multipoint Fuel Injection (MPFI),201,,201,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,1,13499,2014,35037,West Covina,CA,19VDE1F32EE013995,Acura,ILX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19VDE1F3*EE,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",ILX,2014,GREENSBURG,,20,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,1997,121.9,1.9975831016,,R20A5,111.8550,Gasoline,Single Overhead Cam (SOHC),In-Line,,,150,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
2,2,16000,2015,30881,Pasadena,CA,19VDE1F34FE008878,Acura,ILX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19VDE1F3*FE,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",ILX,2015,GREENSBURG,,20,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,1997,121.9,1.9975831016,,R20A5,111.8550,Gasoline,Single Overhead Cam (SOHC),In-Line,,,150,Water,,,,,,Honda,,Manual,Side Curtain Air bag (Rr outer positions). Seat Belt (Rr center position).,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
3,3,14999,2015,29169,West Covina,CA,19VDE1F30FE008425,Acura,ILX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19VDE1F3*FE,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",ILX,2015,GREENSBURG,,20,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,1997,121.9,1.9975831016,,R20A5,111.8550,Gasoline,Single Overhead Cam (SOHC),In-Line,,,150,Water,,,,,,Honda,,Manual,Side Curtain Air bag (Rr outer positions). Seat Belt (Rr center position).,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,4,15499,2015,23599,Santa Ana,CA,19VDE1F37FE008034,Acura,ILX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19VDE1F3*FE,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",ILX,2015,GREENSBURG,,20,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,1997,121.9,1.9975831016,,R20A5,111.8550,Gasoline,Single Overhead Cam (SOHC),In-Line,,,150,Water,,,,,,Honda,,Manual,Side Curtain Air bag (Rr outer positions). Seat Belt (Rr center position).,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,5,15999,2014,27268,Santa Ana,CA,JH4CU2F68EC003323,Acura,TSX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JH4CU2F6*EC,,ACURA,"HONDA MOTOR CO., LTD",TSX,2014,SAYAMA,Tech,,PASSENGER CAR,JAPAN,,SAITAMA,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,2359.737216,144,2.4,4,K24Z3,149.8857,Gasoline,Dual Overhead Cam (DOHC),In-Line,,Multipoint Fuel Injection (MPFI),201,,201,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,6,16500,2015,29651,Pasadena,CA,19VDE1F37FE000676,Acura,ILX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19VDE1F3*FE,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",ILX,2015,GREENSBURG,,20,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,1997,121.9,1.9975831016,,R20A5,111.8550,Gasoline,Single Overhead Cam (SOHC),In-Line,,,150,Water,,,,,,Honda,,Manual,Side Curtain Air bag (Rr outer positions). Seat Belt (Rr center position).,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,7,16999,2014,21064,Stanton,CA,JH4CU2F40EC000785,Acura,TSX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JH4CU2F4*EC,,ACURA,"HONDA MOTOR CO., LTD",TSX,2014,SAYAMA,,,PASSENGER CAR,JAPAN,,SAITAMA,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,2359.737216,144,2.4,4,K24Z3,149.8857,Gasoline,Dual Overhead Cam (DOHC),In-Line,,Multipoint Fuel Injection (MPFI),201,,201,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,8,16499,2015,18583,Montclair,CA,19VDE1F3XFE008562,Acura,ILX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19VDE1F3*FE,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",ILX,2015,GREENSBURG,,20,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,1997,121.9,1.9975831016,,R20A5,111.8550,Gasoline,Single Overhead Cam (SOHC),In-Line,,,150,Water,,,,,,Honda,,Manual,Side Curtain Air bag (Rr outer positions). Seat Belt (Rr center position).,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
9,9,18488,2015,18719,San Diego,CA,19VDE1F38FE010844,Acura,ILX5-Speed,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19VDE1F3*FE,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",ILX,2015,GREENSBURG,,20,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Automatic,5,,,,,,,,,,,,,,,,,,,,4,1997,121.9,1.9975831016,,R20A5,111.8550,Gasoline,Single Overhead Cam (SOHC),In-Line,,,150,Water,,,,,,Honda,,Manual,Side Curtain Air bag (Rr outer positions). Seat Belt (Rr center position).,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
