level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,6955,12498,2015,23623,Hemet,CA,ZFBCFAAHXFZ030328,FIAT,500LPop,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,ZFBCFAAH*FZ,,FIAT,FCA ITALY S.P.A.,500L,2015,KRAGUJEVAC,,POP,MULTIPURPOSE PASSENGER VEHICLE (MPV),SERBIA,,,,Compact minivan,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Short,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,,123.0405,Gasoline,,,,,165,,,,,Yes,,,Yes,Manual,Active Seatbelts.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,6956,13500,2017,7297,Van Nuys,CA,3C3CFFKR4HT553750,FIAT,500Pop,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3C3CFFKR*HT,,FIAT,CHRYSLER DE MEXICO TOLUCA,500,2017,TOLUCA,,"Pop (US), Easy (Mex)",PASSENGER CAR,MEXICO,Toluca Assembly,STATE OF MEXICO,,,,,,Hatchback/Liftback/Notchback,2,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,,75.3157,Gasoline,,In-Line,,,101,,,,,,,FCA,,Manual,,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
2,6957,20995,2017,4532,Victorville,CA,ZFBCFXCB1HP532607,FIAT,500XTrekking,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,ZFBCFXCB*HP,,FIAT,FCA ITALY S.P.A.,500X,2017,MELFI,,TREKKING,MULTIPURPOSE PASSENGER VEHICLE (MPV),ITALY,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,101.2,,,,,,,Not Applicable,Not Applicable,,,4,17,17,,Left-Hand Drive (LHD),5,2,Automatic,9,FWD/Front-Wheel Drive,2,,Hydraulic,,,,,,,,,,,,,,,,4,2400.0,146.45698582735,2.4,,,134.2260,Gasoline,,,,,180,,,,,No,,,Yes,Manual,Active Seatbelts.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,Standard,Standard,Direct,,Standard,,,Standard,,,,,,,Standard,Standard,Optional,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
3,6958,12997,2014,15373,Cathedral City,CA,ZFBCFACH7EZ018634,FIAT,500LLounge,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,ZFBCFACH*EZ,,FIAT,FCA ITALY S.P.A.,500L,2014,KRAGUJEVAC,,LOUNGE,MULTIPURPOSE PASSENGER VEHICLE (MPV),SERBIA,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Short,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,330A1047,123.0405,Gasoline,,,,,165,,,,,Yes,,,Yes,Manual,Active Seatbelts.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,6959,10241,2015,37842,Roseville,CA,3C3CFFBR0FT710462,FIAT,500Sport,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3C3CFFBR*FT,,FIAT,CHRYSLER DE MEXICO TOLUCA,500,2015,TOLUCA,,Sport,PASSENGER CAR,MEXICO,Toluca Assembly,STATE OF MEXICO,,,,,,Hatchback/Liftback/Notchback,2,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,,,Gasoline,,,,,,,,,"Sales Code: EAB,EAC,EAE,EAJ,EAK",No,,,,Manual,Active Seat Belt at all Seating Position; Front Air Bags at Outboard Seating Position,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,6960,11200,2014,36927,Glendale,CA,ZFBCFADH5EZ014516,FIAT,500LTrekking,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,ZFBCFADH*EZ,,FIAT,FCA ITALY S.P.A.,500L,2014,KRAGUJEVAC,,TREKKING,MULTIPURPOSE PASSENGER VEHICLE (MPV),SERBIA,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Short,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,330A1047,123.0405,Gasoline,,,,,165,,,,,Yes,,,Yes,Manual,Active Seatbelts.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,6961,20997,2016,1175,Los Angeles,CA,ZFBCFXAW4GP382237,FIAT,500XFWD,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,ZFBCFXAW*GP,,FIAT,FCA ITALY S.P.A.,500X,2016,MELFI,,POP,MULTIPURPOSE PASSENGER VEHICLE (MPV),ITALY,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,,119.3120,Gasoline,,,,,160,,,,,Yes,,,Yes,Manual,Active Seatbelts.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,6962,17999,2016,34102,Manteca,CA,ZFBCFYCT5GP363589,FIAT,500XAWD,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,ZFBCFYCT*GP,,FIAT,FCA ITALY S.P.A.,500X,2016,MELFI,,TREKKING,MULTIPURPOSE PASSENGER VEHICLE (MPV),ITALY,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,AWD/All-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,4,2400.0,146.45698582735,2.4,,,137.2088,Gasoline,,,,,184,,,,,No,,,Yes,Manual,Active Seatbelts.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,6963,11895,2014,30494,Duarte,CA,ZFBCFADH9EZ019833,FIAT,500LTrekking,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,ZFBCFADH*EZ,,FIAT,FCA ITALY S.P.A.,500L,2014,KRAGUJEVAC,,TREKKING,MULTIPURPOSE PASSENGER VEHICLE (MPV),SERBIA,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Short,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,Hydraulic,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,330A1047,123.0405,Gasoline,,,,,165,,,,,Yes,,,Yes,Manual,Active Seatbelts.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
9,6964,13991,2015,3136,Los Angeles,CA,3C3CFFCR1FT513749,FIAT,5001957,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3C3CFFCR*FT,,FIAT,CHRYSLER DE MEXICO TOLUCA,500,2015,TOLUCA,,Lounge,PASSENGER CAR,MEXICO,Toluca Assembly,STATE OF MEXICO,,,,,,Hatchback/Liftback/Notchback,2,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Left-Hand Drive (LHD),,,,,FWD/Front-Wheel Drive,,,,,,,,,,,,,,,,,,,4,1400.0,85.43324173262,1.4,,,,Gasoline,,,,,,,,,"Sales Code: EAB,EAC,EAE,EAJ,EAK",No,,,,Manual,Active Seat Belt at all Seating Position; Front Air Bags at Outboard Seating Position,,,1st Row (Driver and Passenger),,All Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
