level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,11920,17805,2014,32641,Moreno Valley,CA,1HGCR2F36EA249700,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2F3*EA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2014,MARYSVILLE,LX,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,11921,17995,2015,18236,San Bernardino,CA,1HGCT1B3XFA002098,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCT1B3*FA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2015,MARYSVILLE,LX-S,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Coupe,2,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
2,11922,19977,2015,15222,Sacramento,CA,1HGCR2E56FA142540,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2E5*FA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2015,MARYSVILLE,SPORT,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Manual/Standard,6,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
3,11923,14595,2014,36896,Bloomington,CA,1HGCT1B3XEA010958,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCT1B3*EA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2014,MARYSVILLE,LX-S,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Coupe,2,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,11924,19991,2015,21345,Palmdale,CA,2HGFG3B8XFH533330,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2HGFG3B8*FH,,HONDA,"HONDA OF CANADA MFG., INC.",Civic,2015,ALLISTON,EX,,PASSENGER CAR,CANADA,,ONTARIO,,,,,,Coupe,2,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,11925,21991,2015,931,Costa Mesa,CA,1HGCR2F84FA247876,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2F8*FA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2015,MARYSVILLE,EX-L,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,11926,19995,2015,24602,El Cajon,CA,1HGCR2F35FA230167,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2F3*FA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2015,MARYSVILLE,LX,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,11927,20900,2016,26021,Concord,CA,1HGCR2F8XGA042564,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2F8*GA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2016,MARYSVILLE,EX-L,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,4x2,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,11928,19988,2015,15344,Monterey Park,CA,1HGCR2F86FA164028,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2F8*FA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2015,MARYSVILLE,EX-L,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
9,11929,20800,2015,24897,Cathedral City,CA,1HGCR2F87FA089064,Honda,Accord,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2F8*FA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2015,MARYSVILLE,EX-L,,PASSENGER CAR,UNITED STATES (USA),,OHIO,,,,,,Sedan/Saloon,4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,2356,144,2.4,,K24W1,137.9545,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,185,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
