level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,10927,14999,2015,25819,Antioch,CA,19XFB2F50FE245691,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19XFB2F5*FE,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2015,GREENBURG,LX,,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,10928,14685,2014,21836,Oakland,CA,19XFB2F55EE060695,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19XFB2F5*EE,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2014,GREENSBURG,LX,,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
2,10929,15500,2015,29432,Cathedral City,CA,2HGFB2F55FH548794,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2HGFB2F5*FH,,HONDA,"HONDA OF CANADA MFG., INC.",Civic,2015,ALLISTON,LX,,PASSENGER CAR,CANADA,,ONTARIO,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
3,10930,14999,2015,16235,Bellflower,CA,2HGFB2F82FH546916,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2HGFB2F8*FH,,HONDA,"HONDA OF CANADA MFG., INC.",Civic,2015,ALLISTON,EX,,PASSENGER CAR,CANADA,,ONTARIO,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,10931,13267,2015,37124,Montclair,CA,19XFB2F53FE053441,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19XFB2F5*FE,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2015,GREENBURG,LX,,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,10932,14000,2014,35911,Pasadena,CA,19XFB2F57EE269548,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19XFB2F5*EE,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2014,GREENSBURG,LX,,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,10933,13300,2014,31442,North Hollywood,CA,19XFB2F5XEE235586,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19XFB2F5*EE,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2014,GREENSBURG,LX,,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,10934,16998,2016,9548,Playa Vista,CA,2HGFC2F56GH539746,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2HGFC2F5*GH,,HONDA,"HONDA OF CANADA MFG., INC.",Civic,2016,ALLISTON,LX,,PASSENGER CAR,CANADA,,ONTARIO,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1996,122.04748818946,2.0,,K20C2,117.8206,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,158,Water,,,,,,Honda,,Manual,"seat belts: front, rear, rear center",1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,10935,15995,2014,10923,Loma Linda,CA,2HGFB2F8XEH556270,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,2HGFB2F8*EH,,HONDA,"HONDA OF CANADA MFG., INC.",Civic,2014,ALLISTON,EX,,PASSENGER CAR,CANADA,,ONTARIO,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
9,10936,12999,2014,32081,Bellflower,CA,19XFB2F88EE246421,Honda,Civic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,19XFB2F8*EE,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2014,GREENSBURG,EX,,PASSENGER CAR,UNITED STATES (USA),,INDIANA,,,,,,Sedan/Saloon,4,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,Continuously Variable Transmission (CVT),,,,,,,,,,,,,,,,,,,,,4,1802.577040,110,1.802577040,,R18Z1,106.6351,Gasoline,Single Overhead Cam (SOHC),In-Line,,,143,,,,,,,,,Manual,"seat belts: front, rear, rear center",1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Indirect,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
