level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,21850,18455,2016,34284,San Mateo,CA,JN8AT2MT1GW004209,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JN8AT2MT*GW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue,2016,"KYUSHU PLANT, MIYAKO-GUN",,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,"Nissan Motor Kyushu Co., Ltd.",FUKUOKA,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,21851,20500,2017,6062,City of Industry,CA,JN8AT2MT2HW144707,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JN8AT2MT*HW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue,2017,"KYUSHU PLANT, MIYAKO-GUN",,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,"Nissan Motor Kyushu Co., Ltd.",FUKUOKA,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,106.50,,,,,,,Not Applicable,Not Applicable,,,4,,,,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),,4x2,2,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,126.7690,Gasoline,,,,,170,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,,,,,,,,,,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
2,21852,18955,2016,28454,Victorville,CA,KNMAT2MT5GP698196,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNMAT2MT*GP,,NISSAN,"RENAULT SAMSUNG MOTORS CO., LTD",Rogue,2016,BUSAN,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,Renault Samsung Motor Plant,,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
3,21853,18000,2016,31199,Sunnyvale,CA,KNMAT2MT2GP723572,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNMAT2MT*GP,,NISSAN,"RENAULT SAMSUNG MOTORS CO., LTD",Rogue,2016,BUSAN,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,Renault Samsung Motor Plant,,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,21854,18955,2016,28508,Victorville,CA,JN8AT2MT3GW006138,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JN8AT2MT*GW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue,2016,"KYUSHU PLANT, MIYAKO-GUN",,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,"Nissan Motor Kyushu Co., Ltd.",FUKUOKA,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,21855,18055,2016,39347,Victorville,CA,KNMAT2MT8GP698564,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNMAT2MT*GP,,NISSAN,"RENAULT SAMSUNG MOTORS CO., LTD",Rogue,2016,BUSAN,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,Renault Samsung Motor Plant,,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,21857,18988,2016,15577,Glendora,CA,KNMAT2MT7GP702457,Nissan,RogueS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNMAT2MT*GP,,NISSAN,"RENAULT SAMSUNG MOTORS CO., LTD",Rogue,2016,BUSAN,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,Renault Samsung Motor Plant,,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,21858,19655,2016,20116,Escondido,CA,KNMAT2MT2GP698236,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNMAT2MT*GP,,NISSAN,"RENAULT SAMSUNG MOTORS CO., LTD",Rogue,2016,BUSAN,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,Renault Samsung Motor Plant,,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
10,21860,17985,2016,36902,Davis,CA,5N1AT2MV7GC825289,Nissan,RogueS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,5N1AT2MV*GC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Rogue,2016,SMYRNA,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
11,21861,18955,2016,28668,Victorville,CA,JN8AT2MT2GW005661,Nissan,RogueSV,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,JN8AT2MT*GW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue,2016,"KYUSHU PLANT, MIYAKO-GUN",,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,"Nissan Motor Kyushu Co., Ltd.",FUKUOKA,,Wagon body style,,,,Crossover Utility Vehicle (CUV),4,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,,4,2500.0,152.55936023683,2.5,,,,Gasoline,,,,,,,,,,,,,,Manual,2nd row outboard and center 3-point manual belts,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
