level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,18871,19495,2014,38165,Burbank,CA,WDDGF4HB2EA967324,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*EA,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,SINDELFINGEN,C250,,PASSENGER CAR,GERMANY,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
1,18872,22756,2015,25541,Cerritos,CA,WDDGJ4HB0FG385994,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGJ4HB*FG,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2015,BREMEN,C250,,PASSENGER CAR,GERMANY,Merceds-Benz Cars,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Coupe,2,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
2,18873,20990,2014,22430,Concord,CA,WDDGF4HB9EG217772,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*EG,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,BREMEN,C250,,PASSENGER CAR,GERMANY,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
3,18874,21937,2014,23935,Torrance,CA,WDDGF4HB8EA965108,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*EA,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,SINDELFINGEN,C250,,PASSENGER CAR,GERMANY,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,18875,20855,2014,29916,San Bernadino,CA,WDDGF4HB4ER316178,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*ER,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,EAST LONDON,C250,,PASSENGER CAR,SOUTH AFRICA,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
5,18876,21989,2014,16885,Pacoima,CA,WDDGJ4HB4EG289137,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGJ4HB*EG,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,BREMEN,C250,,PASSENGER CAR,GERMANY,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Coupe,2,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,V-Shaped,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,18877,22379,2014,24360,Torrance,CA,WDDGF4HB4EA953912,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*EA,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,SINDELFINGEN,C250,,PASSENGER CAR,GERMANY,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
7,18878,21488,2014,36869,Torrance,CA,WDDGF4HB9ER302311,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*ER,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,EAST LONDON,C250,,PASSENGER CAR,SOUTH AFRICA,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
8,18879,21999,2014,22460,Hayward,CA,WDDGF4HB6EA959386,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*EA,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,SINDELFINGEN,C250,,PASSENGER CAR,GERMANY,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
9,18880,21999,2014,33041,Daly City,CA,WDDGF4HB2EG158306,Mercedes-Benz,C-ClassC250,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,WDDGF4HB*EG,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2014,BREMEN,C250,,PASSENGER CAR,GERMANY,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,,,Gasoline,,In-Line,,,,,,,,,,,Yes,Manual,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,1st Row (Driver and Passenger),,1st and 2nd Rows,,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
